seed_rank_within_source,source,role,item_id,stratum,direction,claim_sha,claim,evidence
106,fever,active,g24a_fever_70604,fever/SUPPORTS,increase,64403f2e3ca5,Sierra Morena is a place.,The Sierra Morena is one of the main systems of mountain ranges in Spain.
107,fever,active,g24a_fever_162881,fever/SUPPORTS,increase,c00a387598b9,Mani Ratnam is widely credited with altering the profile of films produced across generations.,"Cited by the media as one of India's influential filmmakers, Mani Ratnam is widely credited with revolutionising the Tamil film industry and altering the profile of Indian cinema."
108,fever,active,g24a_fever_79437,fever/SUPPORTS,increase,6068b2bd18b4,Lou Gehrig got more votes than any other baseball players on the Major League Baseball All-Century Team in 1999.,"Gehrig was voted the greatest first baseman of all time by the Baseball Writers' Association in 1969, and was the leading vote-getter on the Major League Baseball All-Century Team chosen by fans in 1999."
109,fever,active,g24a_fever_35030,fever/SUPPORTS,increase,2a48b188a6ba,Lee Daniels received a nomination for Best Director.,"He produced Monster's Ball and directed Precious, which received six Academy Award nominations, including Best Director; the film won two of the awards."
110,fever,active,g24a_fever_115989,fever/REFUTES,decrease,1a393b78c95b,The Beguiled's script was written by a Canadian.,"The script was written by Albert Maltz and is based on the 1966 Southern Gothic novel written by Thomas P. Cullinan, originally titled A Painted Devil. Albert Maltz (October 28, 1908 -- April 26, 1985) was an American playwright, fiction writer and screenwriter."
111,fever,active,g24a_fever_118593,fever/REFUTES,decrease,fdcee55edf70,"Middlesex County is home to the city of Watertown, Massachusetts.","The Town of Watertown is a city in Middlesex County, Massachusetts, United States."
112,fever,active,g24a_fever_10379,fever/REFUTES,decrease,a8fdc2f1ddf2,The horse was not called a Eohippus when it had multiple toes.,"The horse has evolved over the past 45 to 55 million years from a small multi-toed creature, Eohippus, into the large, single-toed animal of today."
113,fever,active,g24a_fever_59603,fever/REFUTES,decrease,68f2dc8dfcb6,Robert Zemeckis has rarely made movies for adults.,"The movies he has directed have ranged across a wide variety of genres, for both adults and families."
114,fever,active,g24a_fever_63521,fever/SUPPORTS,increase,bfea8d837f1a,Angela Bassett is alive and working in the 2010s.,Bassett's success has continued into the 2010s.
115,fever,active,g24a_fever_22805,fever/SUPPORTS,increase,471f2b2fda91,Moscovium has an atomic symbol.,Moscovium is a superheavy synthetic element with symbol Mc and atomic number 115.
116,fever,active,g24a_fever_162835,fever/SUPPORTS,increase,9ae0e6d3e028,Islamabad is a capital city.,"Islamabad ([ɪzˈlɑːməˌbɑːd] [,, [ɪsˌlɑːmɑˈbɑːd̪]) is the capital city of Pakistan located within the federal Islamabad Capital Territory."
117,fever,active,g24a_fever_115773,fever/REFUTES,decrease,0aea3898b3c9,Japan is in North America.,"Japan (日本 Nippon [ɲip̚poɴ] or Nihon [ɲihoɴ] formally or Nihon-koku, meaning ""State of Japan"") is a sovereign island nation in East Asia."
118,fever,active,g24a_fever_51961,fever/REFUTES,decrease,fd9306b6fd28,The Saw franchise is only consists of TV episodes.,"Saw is an American horror franchise distributed by Lions Gate Entertainment, produced by Twisted Pictures and created by two Australians, director James Wan and screenwriter Leigh Whannell, that consists of seven feature films and additional media."
119,fever,active,g24a_fever_81029,fever/SUPPORTS,increase,929dcd89f809,"In The Babe, John Goodman played Babe Ruth.","His other film performances include lead roles in The Babe (1992), The Flintstones (1994) and 10 Cloverfield Lane (2016) and supporting roles in Coyote Ugly (2000), The Artist (2011), Extremely Loud and Incredibly Close (2011), Argo (2012), Flight (2012), The Hangover Part III (2013), and Patriots Day (2016). The Babe is a 1992 American biographical drama film about the life of famed baseball player Babe Ruth, who is portrayed by John Goodman."
120,fever,active,g24a_fever_21345,fever/SUPPORTS,increase,ad7ebf262500,Game of Thrones (season 7) involves Tom Hopper.,"The season will introduce several new cast members, including Jim Broadbent and Tom Hopper."
121,fever,active,g24a_fever_53733,fever/SUPPORTS,increase,31f5bfd95999,Georgians arose from the ancient Colchian civilizations.,Georgians arose from the ancient Colchian and Iberian civilizations.
122,fever,active,g24a_fever_180691,fever/SUPPORTS,increase,717b80e920ef,Cary Elwes is an actor.,"Ivan Simon Cary Elwes ([ˈɛlwɪs] born 26 October 1962), known professionally as Cary Elwes, is an English actor and writer."
123,fever,active,g24a_fever_152422,fever/REFUTES,decrease,fc71e873222b,2016 Tour de France was not a 21-stage race.,"A total of 198 riders from 22 teams entered the 21-stage race, which was won by Chris Froome of."
124,fever,active,g24a_fever_36886,fever/REFUTES,decrease,8fcf19ee0b7f,Carlos Santana was born in the fifties.,"Carlos Santana (born July 20, 1947) is a Mexican and American musician who first became famous in the late 1960s and early 1970s with his band, Santana, which pioneered a fusion of rock and Latin American music."
125,fever,active,g24a_fever_209863,fever/REFUTES,decrease,72390b68771c,In a Lonely Place had nothing to do with any novel by Dorthy B. Hughes.,The script was adapted by Edmund North from the 1947 novel of the same name by Dorothy B. Hughes.
126,fever,active,g24a_fever_74645,fever/REFUTES,decrease,b1a679461a74,Adidas designs buildings.,"Adidas AG ([ˈadiˌdas]) (stylised as adidas since 1949) is a German multinational corporation, headquartered in Herzogenaurach, Germany, that designs and manufactures shoes, clothing and accessories."
127,fever,active,g24a_fever_25705,fever/SUPPORTS,increase,551b68dd1260,Joe Rogan moved to Los Angeles in 1994.,"After relocating to Los Angeles in 1994, Rogan signed an exclusive developmental deal with Disney, appeared as an actor on the television sitcoms Hardball and NewsRadio, and worked in local comedy clubs."
128,fever,active,g24a_fever_184066,fever/SUPPORTS,increase,e83c156794d4,"Kenneth Lonergan date of birth is October 16, 1962.","Kenneth Lonergan (born October 16, 1962) is an American playwright, screenwriter, and director."
129,fever,active,g24a_fever_129517,fever/REFUTES,decrease,520a663ddbd2,Peking University was founded in 1876.,"It is the first modern national university established in China, founded as the Imperial University of Peking in 1898 as a replacement of the ancient Taixue or Guozijian, or Imperial Academy."
130,fever,active,g24a_fever_30014,fever/REFUTES,decrease,db6ffcce4238,Gray Matters was only released in 2001.,"Gray Matters is a 2006 romantic comedy film directed by Sue Kramer, starring Heather Graham, Tom Cavanagh and Bridget Moynahan."
131,fever,active,g24a_fever_102913,fever/REFUTES,decrease,e5cbec871cdc,Kuching is located in Ohio.,"Kuching [ˈkuːtʃɪŋ] (Jawi:,), officially the City of Kuching, is the capital and the most populous city in the state of Sarawak in Malaysia."
132,fever,active,g24a_fever_84274,fever/REFUTES,decrease,3f6c0bbec16e,Mercedes-Benz is a division of an Estonian company.,Mercedes-Benz ([mɛʁˈtseːdəsˌbɛnts]) is a global automobile manufacturer and a division of the German company Daimler AG.
133,fever,active,g24a_fever_3518,fever/REFUTES,decrease,fe5b3d58881d,Exercise is bad for heart health.,"Exercise temporarily increases the rate, but lowers resting heart rate in the long term, and is good for heart health."
134,fever,active,g24a_fever_165901,fever/REFUTES,decrease,d4741c229d4b,"Alice Cooper was born on July 3rd, 1922.","Alice Cooper (born Vincent Damon Furnier; February 4, 1948) is an American singer, songwriter, and actor whose career spans over five decades."
135,fever,active,g24a_fever_112471,fever/SUPPORTS,increase,08a89bb0b594,Five closely spaced stations was originally served by the Tremont Street Subway.,"The tunnel originally served five closely spaced stations: Boylston, Park Street, Scollay Square, Adams Square, and Haymarket, with branches to the Public Garden Portal and Pleasant Street Incline south of Boylston."
136,fever,active,g24a_fever_153914,fever/REFUTES,decrease,0485c0ea8153,Curacao is the only ABC island.,"The ABC islands are the three western-most islands of the Leeward Antilles in the Caribbean Sea that lie north of Falcón State, Venezuela. From west to east they are, in order Aruba, Curaçao, and Bonaire."
137,fever,active,g24a_fever_174028,fever/REFUTES,decrease,fbecf19d0abc,The Endless River is Pink Floyd's ninth studio album.,The Endless River is the fifteenth and final studio album by the English rock band Pink Floyd.
138,fever,active,g24a_fever_84775,fever/REFUTES,decrease,a5b66e617797,Little Dorrit is a song by Charles Dickens.,"Little Dorrit is a novel by Charles Dickens, originally published in serial form between 1855 and 1857."
139,fever,active,g24a_fever_48658,fever/SUPPORTS,increase,ced39cf8ad8d,The Danish language is spoken in Sweden.,"There are also minor Danish-speaking communities in Norway, Sweden, Spain, the United States, Canada, Brazil and Argentina. Sweden (Konungariket Sverige), is a Scandinavian country in Northern Europe."
140,fever,active,g24a_fever_160927,fever/REFUTES,decrease,2e65fbd8d149,Juventus F.C. competes in the Coliseum.,"The club is the second oldest of its kind still active in the country after Genoa's football section (1893), has traditionally worn a black and white striped home kit since 1903 and has played its home matches in several grounds, being the latest the 41,507-capacity Juventus Stadium."
141,fever,active,g24a_fever_9762,fever/SUPPORTS,increase,074119936194,The White House Press Secretary's primary responsibility is to be a spokesperson.,"The White House Press Secretary is a senior White House official whose primary responsibility is to act as spokesperson for the executive branch of the United States government administration, especially with regard to the President, senior executives, and policies."
142,fever,active,g24a_fever_54679,fever/SUPPORTS,increase,e2a8d505d6c6,"Beaverton, Oregon is a city in Washington County.","Beaverton is a city in Washington County, in the U.S. state of Oregon."
143,fever,active,g24a_fever_209086,fever/SUPPORTS,increase,6d2663f25d70,Stadium Arcadium was released in or before 2009.,"The album was released on May 9, 2006, on Warner Bros.."
144,fever,active,g24a_fever_60066,fever/SUPPORTS,increase,693ff78e3498,David Spade appeared in Black Sheep.,"David Wayne Spade (born July 22, 1964) is an American actor, stand-up comedian, writer and television personality."
145,fever,active,g24a_fever_123833,fever/REFUTES,decrease,efdb559420bb,Stephen Colbert is banned from CBS.,"Colbert has hosted The Late Show with Stephen Colbert, a late-night television talk show on CBS, since September 8, 2015."
146,fever,active,g24a_fever_7419,fever/SUPPORTS,increase,7e473488062d,The Faroe Islands existed.,"Between 1035 and 1814, the Faeroes were part of the Hereditary Kingdom of Norway."
147,fever,active,g24a_fever_93018,fever/REFUTES,decrease,491897c6d591,Match Point was an unproduced screenplay by Woody Allen.,It was produced and filmed in London after Allen had difficulty finding financial support for the film in New York.
148,fever,active,g24a_fever_57842,fever/SUPPORTS,increase,73dcf56b0c83,Shape of You topped the singles charts of 30 different countries.,"""Shape of You"" peaked at number-one on the singles charts of 30 different countries, including the US Billboard Hot 100, as well as the UK, Australian and Canadian singles charts."
